GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,422165,2663442,google.com,com,1,1,422718,2662457
2,2,facebook.com,com,414040,2777255,facebook.com,com,2,2,414358,2776288
3,3,youtube.com,com,376430,2222089,youtube.com,com,3,3,376876,2221053
4,4,twitter.com,com,372897,2318991,twitter.com,com,4,4,373303,2317990
5,5,microsoft.com,com,270677,881417,microsoft.com,com,5,5,271332,882262
6,6,linkedin.com,com,260089,1167299,linkedin.com,com,6,6,260345,1166856
7,1,wikipedia.org,org,259978,1125075,wikipedia.org,org,7,1,260282,1123860
8,7,plus.google.com,com,256920,1318580,plus.google.com,com,8,7,257299,1318173
9,8,apple.com,com,247697,934684,apple.com,com,9,8,248122,934372
10,9,adobe.com,com,240725,822050,adobe.com,com,10,9,241670,824556
11,10,instagram.com,com,234569,1101508,instagram.com,com,11,10,234731,1100059
12,2,wordpress.org,org,234213,1142993,wordpress.org,org,12,2,234188,1142760
13,3,en.wikipedia.org,org,217173,825921,en.wikipedia.org,org,13,3,217344,825075
14,11,itunes.apple.com,com,204767,677525,itunes.apple.com,com,14,11,205142,677427
15,12,wordpress.com,com,203211,785747,wordpress.com,com,15,12,203467,785067
16,13,vimeo.com,com,199689,822731,vimeo.com,com,16,13,200067,822036
17,14,blogspot.com,com,199491,764228,blogspot.com,com,17,14,199743,763726
18,1,youtu.be,be,196871,695549,youtu.be,be,18,1,197083,694839
19,15,maps.google.com,com,196842,714213,maps.google.com,com,19,15,196909,713778
20,16,pinterest.com,com,192713,877964,pinterest.com,com,20,16,193040,877589
21,1,goo.gl,gl,188332,645519,goo.gl,gl,21,1,188556,644986
22,17,yahoo.com,com,186975,606515,yahoo.com,com,22,17,187307,606606
23,18,play.google.com,com,183257,561729,play.google.com,com,23,18,183695,561631
24,19,amazon.com,com,169575,585701,amazon.com,com,24,19,169830,585097
25,20,player.vimeo.com,com,167488,650892,player.vimeo.com,com,25,20,167714,650397
26,1,bit.ly,ly,163628,525731,bit.ly,ly,26,1,163793,524850
27,21,tumblr.com,com,159543,588901,tumblr.com,com,27,21,159897,588851
28,22,docs.google.com,com,158345,485218,docs.google.com,com,28,22,158514,484910
29,23,googletagmanager.com,com,156951,494781,googletagmanager.com,com,29,23,157225,494190
30,24,flickr.com,com,155094,508513,flickr.com,com,30,24,155256,508236
31,25,get.adobe.com,com,148297,389925,get.adobe.com,com,31,25,147872,385233
32,4,w3.org,org,146831,378956,w3.org,org,32,4,146868,379102
33,26,godaddy.com,com,143230,445756,godaddy.com,com,34,26,143755,448141
34,27,github.com,com,141374,412528,github.com,com,35,27,141577,412294
35,5,mozilla.org,org,140300,390277,mozilla.org,org,33,5,145094,404964
36,1,sourceforge.net,net,131952,334864,sourceforge.net,net,36,1,132143,335131
37,28,go.microsoft.com,com,131538,318685,go.microsoft.com,com,37,28,131617,319184
38,6,apache.org,org,129364,302320,apache.org,org,38,6,129668,302799
39,29,mcc.godaddy.com,com,128170,375951,mcc.godaddy.com,com,39,29,128803,378864
40,30,nytimes.com,com,125523,364434,nytimes.com,com,40,30,125904,364339
41,1,bbc.co.uk,uk,115080,313949,bbc.co.uk,uk,41,1,115282,313972
42,31,soundcloud.com,com,114287,357870,soundcloud.com,com,42,31,114312,357569
43,32,reddit.com,com,113480,362859,reddit.com,com,43,32,113661,362880
44,33,drive.google.com,com,113053,290603,drive.google.com,com,44,33,113058,290355
45,34,weebly.com,com,112785,306452,weebly.com,com,46,34,112828,306300
46,1,europa.eu,eu,112663,333785,europa.eu,eu,45,1,112976,333281
47,35,cnn.com,com,111949,296796,cnn.com,com,47,35,112300,296894
48,36,gravatar.com,com,111296,365222,gravatar.com,com,49,36,111057,364932
49,1,t.co,co,110999,327847,t.co,co,48,1,111167,327878
50,2,php.net,net,109644,269033,php.net,net,50,2,109629,269219
51,7,validator.w3.org,org,108079,257883,validator.w3.org,org,51,7,108149,258071
52,1,nih.gov,gov,107944,273878,nih.gov,gov,52,1,108116,274037
53,37,accounts.google.com,com,106632,311627,accounts.google.com,com,58,42,101692,297535
54,38,dropbox.com,com,104747,268877,dropbox.com,com,54,38,104908,268650
55,39,msn.com,com,104709,258790,msn.com,com,53,37,104958,259176
56,40,amazonaws.com,com,104262,247123,amazonaws.com,com,55,39,104495,246951
57,41,theguardian.com,com,104013,280457,theguardian.com,com,56,40,104294,280561
58,42,tinyurl.com,com,103646,263429,tinyurl.com,com,57,41,103789,263315
59,8,creativecommons.org,org,100532,248870,creativecommons.org,org,59,8,100623,248850
60,43,forbes.com,com,100174,257145,forbes.com,com,60,43,100431,257302
61,44,issuu.com,com,99982,257904,issuu.com,com,62,45,99882,257416
62,45,wix.com,com,99887,253561,wix.com,com,64,47,99851,253297
63,46,wsj.com,com,99647,255257,wsj.com,com,63,46,99876,255605
64,47,support.google.com,com,99399,268731,support.google.com,com,61,44,100093,270066
